priority,priority_reasons,missing_fields,source_type,file_ext,doc_id,sha256,file_name,title,source_url,attachment_url,column,publisher,publish_date,doc_no,business_domain,regulatory_topic,source_site,version_status,effective_date,expiry_date,supersedes_doc_id,superseded_by_doc_id,version_group
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_350,,350_2020年2月全国各地区原保险保费收入情况表_全国各地区原保险保费收入情况表.xls,全国各地区原保险保费收入情况表,,,监管统计数据,中国银行保险监督管理委员会,,,监管统计,全国各地区原保险保费收入,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_351,,351_2020年2月人身险公司经营情况表_人身险公司经营情况表.xls,人身险公司经营情况表,,,监管统计数据,中国银行保险监督管理委员会,,,保险经营统计,人身险公司经营情况表,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_352,,352_2020年2月财产保险公司经营情况表_财产保险公司经营情况表.xls,财产保险公司经营情况表,,,监管统计数据,中国银行保险监督管理委员会,,,保险经营统计,财产保险公司经营情况表,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_353,,353_2020年2月保险业经营情况表_保险业经营情况表.xls,保险业经营情况表,,,监管统计数据,中国银行保险监督管理委员会,,,保险经营统计,保险业经营情况表,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xlsx,nfra_354,,354_2020年1月全国各地区原保险保费收入情况表_全国各地区原保险保费收入情况表.xlsx,全国各地区原保险保费收入情况表,,,监管统计数据,中国银行保险监督管理委员会,,,监管统计,全国各地区原保险保费收入,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xlsx,nfra_355,,355_2020年1月人身险公司经营情况表_人身险公司经营情况表.xlsx,人身险公司经营情况表,,,监管统计数据,中国银行保险监督管理委员会,,,保险经营统计,人身险公司经营情况表,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xlsx,nfra_356,,356_2020年1月财产保险公司经营情况表_财产保险公司经营情况表.xlsx,财产保险公司经营情况表,,,监管统计数据,中国银行保险监督管理委员会,,,保险经营统计,财产保险公司经营情况表,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xlsx,nfra_357,,357_2020年1月保险业经营情况表_保险业经营情况表.xlsx,保险业经营情况表,,,监管统计数据,中国银行保险监督管理委员会,,,保险经营统计,保险业经营情况表,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_358,,358_2020年银保监会监管统计信息发布日程表_2020年银保监会监管统计信息发布日程表.xls,2020年银保监会监管统计信息发布日程表,,,监管统计数据,银保监会,,,监管统计,监管统计信息发布日程,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_359,,359_2019年银保监会监管统计信息发布日程表_2019年银保监会监管统计信息发布日程表.xls,2019年银保监会监管统计信息发布日程表,,,监管统计数据,银保监会,,,监管统计,监管统计信息发布日程,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_360,,360_2018年银监会监管统计信息发布日程表_2018年监管统计信息披露日程表.xls,2018年监管统计信息披露日程表,,,监管统计数据,银监会,,,监管统计,监管统计信息披露日程,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_371,,371_2017年银监会监管统计信息发布日程表_2017年监管统计信息披露日程表.xls,2017年监管统计信息披露日程表,,,监管统计数据,银监会,,,监管统计,监管统计信息披露日程,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_372,,372_2016年银监会监管统计信息发布日程表_2016年监管统计信息披露日程表.xls,2016年监管统计信息披露日程表,,,监管统计数据,银监会,,,监管统计,监管统计信息披露日程,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_375,,375_2015年银监会监管统计信息发布日程表_2015年银监会监管统计信息发布日程表.xls,2015年银监会监管统计信息发布日程表,,,监管统计数据,银监会,,,监管统计,监管统计信息发布日程,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_376,,376_2014年商业银行主要监管指标情况表(季度)_2014年监管统计信息发布日程、机构范围和指标解释表.xls,2014年监管统计信息发布日程、机构范围和指标解释表,,,监管统计数据,中国银行保险监督管理委员会,,,监管统计,监管统计信息发布日程,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_377,,377_2014年银监会监管统计信息发布日程表_2014年银监会监管统计信息发布日程表.xls,2014年银监会监管统计信息发布日程表,,,监管统计数据,银监会,,,监管统计,监管统计信息发布日程,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_378,,378_2013年商业银行主要监管指标情况表(季度)_2013年监管统计信息发布日程表.xls,2013年监管统计信息发布日程表,,,监管统计数据,中国银行保险监督管理委员会,,,监管统计,监管统计信息发布日程,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_379,,379_2013年商业银行主要监管指标情况表(季度)_机构范围和指标解释.xls,机构范围和指标解释,,,监管统计数据,中国银行保险监督管理委员会,,,监管统计,机构范围,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_380,,380_2013年总资产、总负债(季度)_2013年监管统计信息发布日程表及机构范围解释.xls,2013年监管统计信息发布日程表及机构范围解释,,,监管统计数据,中国银行保险监督管理委员会,,,监管统计,监管统计信息发布日程,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_381,,381_2012年总资产、总负债(季度)_机构范围和指标解释.xls,机构范围和指标解释,,,监管统计数据,中国银行保险监督管理委员会,,,监管统计,机构范围,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_382,,382_2012年商业银行主要监管指标情况表(季度)_机构范围和指标解释.xls,机构范围和指标解释,,,监管统计数据,中国银行保险监督管理委员会,,,监管统计,机构范围,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_383,,383_2011年商业银行主要监管指标情况表(季度)_机构范围和指标解释.xls,机构范围和指标解释,,,监管统计数据,中国银行保险监督管理委员会,,,监管统计,机构范围,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_384,,384_2011年总资产、总负债(季度)_机构范围解释.xls,机构范围解释,,,监管统计数据,中国银行保险监督管理委员会,,,监管统计,机构范围,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_391,,391_国家金融监督管理总局关于印发银行业金融机构小微企业金融服务监管评价办法的通知_附件_银行业金融机构小微企业金融服务监管评价指标表.xls,银行业金融机构小微企业金融服务监管评价指标表,,,监管统计数据,国家金融监督管理总局,,,普惠金融,小微,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_394,,394_国家金融监督管理总局办公厅关于印发保险公司县域机构统计制度的通知_附件1：财产保险公司县域机构统计表.xls,附件1：财产保险公司县域机构统计表,,,监管统计数据,国家金融监督管理总局,,,监管统计,统计,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_395,,395_国家金融监督管理总局办公厅关于印发保险公司县域机构统计制度的通知_附件2：人身保险公司县域机构统计表.xls,附件2：人身保险公司县域机构统计表,,,监管统计数据,国家金融监督管理总局,,,监管统计,统计,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_427,,427_国家金融监督管理总局_中国人民银行_中国证券监督管理委员会_国家互联网信息办公室_国家外汇管理局关于规范货币经纪公司数据服务有关事项的通知_附件2：货币经纪公司可提供数据服务的机构名单.xls,附件2：货币经纪公司可提供数据服务的机构名单,,,,国家金融监督管理总局、中国人民银行,,,其他,,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xls,nfra_441,,441_中国银保监会关于印发_保险公司非寿险业务准备金管理办法_实施细则（1—7号）的通知_细则第5号附件：非寿险业务准备金回溯分析报表.xls,细则第5号附件：非寿险业务准备金回溯分析报表,,,监管统计数据,中国银保监会、银保监会,,,监管统计,报表,,unknown,,,,,
55,stat_table;missing_source;unknown_version,source_url;attachment_url;source_site;publish_date;version_status;version_group;effective_date,excel,.xlsx,nfra_444,,444_中国银保监会关于印发_保险公司非寿险业务准备金管理办法_实施细则（1—7号）的通知_细则第6号附件2.保险公司年度非寿险业务准备金评估报告监管报表.xlsx,细则第6号附件2.保险公司年度非寿险业务准备金评估报告监管报表,,,监管统计数据,中国银保监会、银保监会,,,监管统计,报表,,unknown,,,,,
